,,,,Right ACgG  anterior cingulate gyrus,Left ACgG  anterior cingulate gyrus,Right AIns  anterior insula,Left AIns  anterior insula,Right AOrG  anterior orbital gyrus,Left AOrG  anterior orbital gyrus,Right AnG   angular gyrus,Left AnG   angular gyrus,Right Calc  calcarine cortex,Left Calc  calcarine cortex,Right CO    central operculum,Left CO    central operculum,Right Cun   cuneus,Left Cun   cuneus,Right Ent   entorhinal area,Left Ent   entorhinal area,Right FO    frontal operculum,Left FO    frontal operculum,Right FRP   frontal pole,Left FRP   frontal pole,Right FuG   fusiform gyrus,Left FuG   fusiform gyrus,Right GRe   gyrus rectus,Left GRe   gyrus rectus,Right IOG   inferior occipital gyrus,Left IOG   inferior occipital gyrus,Right ITG   inferior temporal gyrus,Left ITG   inferior temporal gyrus,Right LiG   lingual gyrus,Left LiG   lingual gyrus,Right LOrG  lateral orbital gyrus,Left LOrG  lateral orbital gyrus,Right MCgG  middle cingulate gyrus,Left MCgG  middle cingulate gyrus,Right MFC   medial frontal cortex,Left MFC   medial frontal cortex,Right MFG   middle frontal gyrus,Left MFG   middle frontal gyrus,Right MOG   middle occipital gyrus,Left MOG   middle occipital gyrus,Right MOrG  medial orbital gyrus,Left MOrG  medial orbital gyrus,Right MPoG  postcentral gyrus medial segment,Left MPoG  postcentral gyrus medial segment,Right MPrG  precentral gyrus medial segment,Left MPrG  precentral gyrus medial segment,Right MSFG  superior frontal gyrus medial segment,Left MSFG  superior frontal gyrus medial segment,Right MTG   middle temporal gyrus,Left MTG   middle temporal gyrus,Right OCP   occipital pole,Left OCP   occipital pole,Right OFuG  occipital fusiform gyrus,Left OFuG  occipital fusiform gyrus,Right OpIFG opercular part of the inferior frontal gyrus,Left OpIFG opercular part of the inferior frontal gyrus,Right OrIFG orbital part of the inferior frontal gyrus,Left OrIFG orbital part of the inferior frontal gyrus,Right PCgG  posterior cingulate gyrus,Left PCgG  posterior cingulate gyrus,Right PCu   precuneus,Left PCu   precuneus,Right PHG   parahippocampal gyrus,Left PHG   parahippocampal gyrus,Right PIns  posterior insula,Left PIns  posterior insula,Right PO    parietal operculum,Left PO    parietal operculum,Right PoG   postcentral gyrus,Left PoG   postcentral gyrus,Right POrG  posterior orbital gyrus,Left POrG  posterior orbital gyrus,Right PP    planum polare,Left PP    planum polare,Right PrG   precentral gyrus,Left PrG   precentral gyrus,Right PT    planum temporale,Left PT    planum temporale,Right SCA   subcallosal area,Left SCA   subcallosal area,Right SFG   superior frontal gyrus,Left SFG   superior frontal gyrus,Right SMC   supplementary motor cortex,Left SMC   supplementary motor cortex,Right SMG   supramarginal gyrus,Left SMG   supramarginal gyrus,Right SOG   superior occipital gyrus,Left SOG   superior occipital gyrus,Right SPL   superior parietal lobule,Left SPL   superior parietal lobule,Right STG   superior temporal gyrus,Left STG   superior temporal gyrus,Right TMP   temporal pole,Left TMP   temporal pole,Right TrIFG triangular part of the inferior frontal gyrus,Left TrIFG triangular part of the inferior frontal gyrus,Right TTG   transverse temporal gyrus,Left TTG   transverse temporal gyrus
1.3.3., LOrG,Right LOrG  lateral orbital gyrus,2538.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568.3333333,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,423.5,0,0,0,0,0,0,0,0,0,0,0,0,0,367.6666667,0,0,0,0,0,0,0,0,0,433,0,0,0,0,0,0,0,0,0,0,0,7,0,416,0,0,0
1.3.3., LOrG,Left LOrG  lateral orbital gyrus,3124.833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,913,0,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,478.5,0,0,0,0,0,0,0,0,0,0,0,0,0,491.3333333,0,0,0,0,0,0,0,0,0,376,0,0,0,0,0,0,0,0,0,0,0,0,0,407,0,0
5.1.2., MCgG,Right MCgG  middle cingulate gyrus,3475.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1539.666667,0,0,0,0,0,0,0,0,0,0,364.6666667,15.5,47.5,0,0,0,0,0,0,0,0,0,0,0,216.6666667,36.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110,144.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.1.2., MCgG,Left MCgG  middle cingulate gyrus,1967.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,315,0,44,0,0,0,0,0,0,0,0,0,0,55.66666667,225.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,999.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2.3., MFC,Right MFC   medial frontal cortex,1428.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643,28.5,0,0,0,20,0,0,0,0,0,600.6666667,54.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,16.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2.3., MFC,Left MFC   medial frontal cortex,772.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,79.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
1.1.3., MFG,Right MFG   middle frontal gyrus,5795.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.5,0,0,0,0,0,9,0,0,0,0,0,0,0,325,0,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1108.333333,0,0,0,0,0,2872.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,995.6666667,0,0,0
1.1.3., MFG,Left MFG   middle frontal gyrus,5194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,318.6666667,0,310.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,997.3333333,0,0,0,0,0,2474.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1082,0,0
4.1.3., MOG,Right MOG   middle occipital gyrus,1017.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690,0,113.6666667,0,0,0,0,0,0,0,0,0
4.1.3., MOG,Left MOG   middle occipital gyrus,1566.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563.3333333,0,84,0,445,0,0,0,0,0,0
1.3.2., MOrG,Right MOrG  medial orbital gyrus,834.6666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,617.3333333,0,0,0,0,0,0,0,217.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3.2., MOrG,Left MOrG  medial orbital gyrus,1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612.6666667,0,0,0,0,0,0,0,263.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0
3.2.1., MPoG,Right MPoG  postcentral gyrus medial segment,817.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,0,0,0,0,0,0,0,185.3333333,0,0,0,0,0,14.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0
3.2.1., MPoG,Left MPoG  postcentral gyrus medial segment,889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,203.3333333,0,0,0,0,0,0,0,220,0,0,0,0,0,19.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0
1.2.6., MPrG,Right MPrG  precentral gyrus medial segment,1081.833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.5,0,0,0,0,0,0,0,0,0,0,0,0,249,0,133.3333333,0,0,0,0,0,0,0,15,0,0,0,0,0,253.3333333,0,0,0,0,0,26,0,243.6666667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2.6., MPrG,Left MPrG  precentral gyrus medial segment,1365.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,335,23,205.5,0,0,0,0,0,0,0,17,0,0,0,0,0,270.3333333,0,0,0,0,0,39.5,239,205.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2.1., MSFG,Right MSFG  superior frontal gyrus medial segment,1459.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538.6666667,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,703.3333333,0,201.3333333,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0
1.2.1., MSFG,Left MSFG  superior frontal gyrus medial segment,858.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,22,176.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.1.3., MTG,Right MTG   middle temporal gyrus,4109.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,0,0,0,0,0,0,0,48,0,3253,0,233.3333333,0,0,0,0,0
2.1.3., MTG,Left MTG   middle temporal gyrus,3286.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3081,0,179.6666667,0,0,0,0
4.1.4., OCP,Right OCP   occipital pole,422.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,143.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0
4.1.4., OCP,Left OCP   occipital pole,293.3333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.6666667,0,0,0,0,0,0,0,0,0,0
4.2.1., OFuG,Right OFuG  occipital fusiform gyrus,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
4.2.1., OFuG,Left OFuG  occipital fusiform gyrus,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
1.1.4., OpIFG,Right OpIFG opercular part of the inferior frontal gyrus,971.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,352.6666667,0,0,0
1.1.4., OpIFG,Left OpIFG opercular part of the inferior frontal gyrus,1173.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,402.6666667,0,0
1.1.5., OrIFG,Right OrIFG orbital part of the inferior frontal gyrus,1345.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.5,0,2,0,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,603.6666667,0,0,0
1.1.5., OrIFG,Left OrIFG orbital part of the inferior frontal gyrus,1398.833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.5,0,0,0,741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564.3333333,0,0
5.1.3., PCgG,Right PCgG  posterior cingulate gyrus,1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,863.6666667,978.6666667,66,35.66666667,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.1.3., PCgG,Left PCgG  posterior cingulate gyrus,1466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,1056.333333,0,43.66666667,0,0,0,76,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.2.2., PCu,Right PCu   precuneus,2672.833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1429,0,0,0,0,0,0,205.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,1000.333333,0,0,0,0,0,0,0,0,0
3.2.2., PCu,Left PCu   precuneus,1117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.66666667,7,808,0,0,0,0,0,0,0,0
5.2.1., PHG,Right PHG   parahippocampal gyrus,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2.1., PHG,Left PHG   parahippocampal gyrus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5.2., PIns,Right PIns  posterior insula,1703.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341.6666667,0,0,0,24,0,871.3333333,0,0,0,38,0,0,0,26.5,0,0,0,8,0,0,0,0,0,0,0,21,0,0,0,373,0
1.5.2., PIns,Left PIns  posterior insula,1667.833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327.5,0,0,0,61,0,992.3333333,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,267
1.4.3., PO,Right PO    parietal operculum,2467.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232.6666667,0,0,0,17,0,17,0,1156,0,0,0,0,0,0,0,579.6666667,0,0,0,0,0,108,0,0,0,0,0,357.3333333,0
1.4.3., PO,Left PO    parietal operculum,2606.833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,453.5,0,16,0,1143,0,0,0,21,0,0,0,471.3333333,0,0,0,0,0,29.5,0,0,0,0,0,322.5
3.1.1., PoG,Right PoG   postcentral gyrus,3475.833334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1892.666667,0,29.5,0,0,0,0,0,0,0,789.3333333,0,0,0,739.3333333,0,24,0,0,0,0,0,1,0
3.1.1., PoG,Left PoG   postcentral gyrus,3553.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.33333333,0,2011,0,48.5,0,0,0,4,0,0,0,636.3333333,0,0,0,810,0,27,0,0,0,0,0,0
1.3.4., POrG,Right POrG  posterior orbital gyrus,230.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,138.5,0,0,0,0,0
1.3.4., POrG,Left POrG  posterior orbital gyrus,122.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,117.3333333,0,0,0,0
2.2.1., PP,Right PP    planum polare,852.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,39,0,0,0,34.5,0,0,0,0,0,0,0,0,0,227.6666667,0,175,0,0,0,363.3333333,0
2.2.1., PP,Left PP    planum polare,856.8333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.666666667,0,48.5,0,0,0,19,0,0,0,0,0,0,0,0,0,323,0,185.6666667,0,0,0,271
1.1.7., PrG,Right PrG   precentral gyrus,484.6666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468.3333333,0,11.33333333,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0
1.1.7., PrG,Left PrG   precentral gyrus,835.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,722.3333333,0,30,0,0,0,0,0,0,0,6,0,42,0,0,0,0
2.2.3., PT,Right PT    planum temporale,1222.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,352,0,0,0,0,0,460.6666667,0,0,0,0,0,400.6666667,0
2.2.3., PT,Left PT    planum temporale,1190.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357.6666667,0,0,0,0,0,399.3333333,0,0,0,0,0,433.6666667
1.2.5., SCA,Right SCA   subcallosal area,230.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2.5., SCA,Left SCA   subcallosal area,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1.2., SFG,Right SFG   superior frontal gyrus,749.1666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.6666667,0,0,0,0,0,0,0,113,0,0,0,0,0,30.5,0
1.1.2., SFG,Left SFG   superior frontal gyrus,641.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
